Player,Year,FantasyPoints,rushing_att,1st_down_rush,longest_rushing_att,rushing_yds/att,pass_target,receptions,1d_rec,rec_yds/tgt
Knowshon Moreno,2013,296.6,241,56,31,4.3,74,60,30,7.4
Alfred Morris,2013,178.3,276,61,45,4.6,12,9,2,6.5
Marcel Reece,2013,111.8,46,8,63,4.7,54,32,12,6.1
Ray Rice,2013,176.1,214,28,47,3.1,72,58,13,4.5
DeAngelo Williams,2013,163.6,201,36,43,4.2,36,26,10,9.3
Reggie Bush,2012,206.8,227,43,65,4.3,52,35,14,5.6
Jamaal Charles,2012,239.5,285,63,91,5.3,49,35,11,4.8
Matt Forte,2012,221.4,248,45,46,4.4,59,44,15,5.8
Arian Foster,2012,302.1,351,78,46,4.1,58,40,10,3.7
Frank Gore,2012,224.8,258,68,37,4.7,36,28,10,6.5
BenJarvus Green-Ellis,2012,173.8,278,55,48,3.9,30,22,4,3.5
Steven Jackson,2012,198.6,258,49,46,4.1,53,38,13,6.1
Chris Johnson,2012,211.5,276,46,94,4.5,49,36,7,4.7
Marshawn Lynch,2012,269.6,315,70,77,5,30,23,11,6.5
Doug Martin,2012,311.6,319,64,70,4.6,70,49,18,6.7
Alfred Morris,2012,252,335,86,39,4.8,16,11,3,4.8
Adrian Peterson,2012,345.4,348,88,82,6,51,40,11,4.3
Ray Rice,2012,283.1,257,52,46,4.4,83,61,24,5.8
Trent Richardson,2012,254.7,267,38,32,3.6,70,51,18,5.2
Michael Turner,2012,175.8,222,40,43,3.6,30,19,2,4.3
Cedric Benson,2011,161.9,273,51,42,3.9,22,15,3,3.7
Reggie Bush,2011,219.2,216,41,76,5,52,43,12,5.7
Frank Gore,2011,193.5,282,55,55,4.3,31,17,4,3.7
Shonn Greene,2011,192.5,253,46,31,4.2,41,30,7,5.1
Steven Jackson,2011,223.8,260,51,47,4.4,58,42,17,5.7
Chris Johnson,2011,225.5,262,47,48,4,79,57,14,5.3
Maurice Jones-Drew,2011,305,343,76,56,4.7,64,43,18,5.8
Marshawn Lynch,2011,243.6,285,65,47,4.2,41,28,8,5.2
LeSean McCoy,2011,328.4,273,85,60,4.8,69,48,18,4.6
Rashard Mendenhall,2011,178.2,228,46,68,4.1,28,18,5,5.5
Ray Rice,2011,372.8,291,54,70,4.7,104,76,30,6.8
Michael Turner,2011,229.8,301,63,81,4.5,26,17,8,6.5
Cedric Benson,2010,194.9,321,59,26,3.5,37,28,9,4.8
Ronnie Brown,2010,156.6,200,40,51,3.7,43,33,13,5.6
Matt Forte,2010,262.6,237,43,68,4.5,70,51,21,7.8
Steven Jackson,2010,242.4,330,60,42,3.8,62,46,14,6.2
Chris Johnson,2010,272.9,316,57,76,4.3,57,44,9,4.3
Rashard Mendenhall,2010,241,324,61,50,3.9,34,23,6,4.9
Adrian Peterson,2010,275.9,283,71,80,4.6,50,36,17,6.8
Michael Turner,2010,225.6,334,75,55,4.1,20,12,2,4.3
Joseph Addai,2009,248.3,219,44,21,3.8,63,51,18,5.3
Marion Barber III,2009,179.3,214,60,35,4.4,36,26,10,6.1
Matt Forte,2009,215,258,41,61,3.6,72,57,17,6.5
Ryan Grant,2009,234,282,64,62,4.4,30,25,9,6.6
Tim Hightower,2009,205.6,143,33,50,4.2,80,63,22,5.4
Steven Jackson,2009,244.8,324,59,58,4.4,75,51,16,4.3
Brandon Jacobs,2009,154.9,224,44,31,3.7,31,18,5,5.9
Chris Johnson,2009,390.9,358,80,91,5.6,71,50,18,7.1
Maurice Jones-Drew,2009,323.5,312,69,80,4.5,71,53,16,5.3
Thomas Jones,2009,240,331,66,71,4.2,18,10,4,3.2
Adrian Peterson,2009,320.9,314,76,64,4.4,57,43,16,7.6
Ray Rice,2009,326.1,254,53,59,5.3,101,78,27,7
Cadillac Williams,2009,174,211,43,35,3.9,39,28,10,5.6
Matt Forte,2008,304.5,316,65,50,3.9,76,63,23,6.3
Jamal Lewis,2008,163,279,43,29,3.6,32,23,8,5.6
Marshawn Lynch,2008,232.6,250,53,50,4.1,67,47,15,4.5
Adrian Peterson,2008,261.5,363,82,67,4.8,39,21,4,3.2
Clinton Portis,2008,246.5,342,78,31,4.3,35,28,11,6.2
Steve Slaton,2008,271.9,268,62,71,4.8,59,50,14,6.4
LaDainian Tomlinson,2008,277.6,292,52,45,3.8,77,52,18,5.5
Michael Turner,2008,278,376,85,70,4.5,9,6,2,4.6
DeAngelo Williams,2008,305.6,273,65,69,5.5,30,22,8,4
Joseph Addai,2007,274.6,261,66,23,4.1,48,41,16,7.6
Warrick Dunn,2007,152.8,227,36,38,3.2,59,37,5,4
DeShaun Foster,2007,144.8,247,43,20,3.5,36,25,6,5.1
Frank Gore,2007,236.8,260,42,43,4.2,69,53,20,6.3
Edgerrin James,2007,208.6,324,57,27,3.8,39,24,9,5.2
Julius Jones,2007,114.1,164,24,25,3.6,26,23,10,7.8
Jamal Lewis,2007,247.2,298,59,66,4.4,39,30,8,6.4
Willis McGahee,2007,228.8,294,57,46,4.1,49,43,10,4.7
Willie Parker,2007,177,321,48,32,4.1,31,23,7,5.3
Clinton Portis,2007,272.7,325,61,32,3.9,60,47,19,6.5
Fred Taylor,2007,163,223,45,80,5.4,14,9,2,4.1
LaDainian Tomlinson,2007,367.6,315,75,49,4.7,86,60,20,5.5
Brian Westbrook,2007,368.4,278,74,36,4.8,118,90,32,6.5
LenDale White,2007,174.4,303,60,28,3.7,31,20,7,3.7
Tiki Barber,2006,298.7,327,79,55,5.1,75,58,24,6.2
Warrick Dunn,2006,183,286,48,90,4,28,22,10,6.1
Frank Gore,2006,323,312,67,72,5.4,86,61,23,5.6
Steven Jackson,2006,415.4,346,73,59,4.4,110,90,32,7.3
Edgerrin James,2006,205.6,337,61,18,3.4,61,38,10,3.6
Larry Johnson,2006,370.9,416,91,47,4.3,66,41,21,6.2
Rudi Johnson,2006,234.3,341,70,22,3.8,31,23,5,4
Julius Jones,2006,153.6,267,48,77,4.1,15,9,7,9.5
Thomas Jones,2006,206.2,296,63,30,4.1,47,36,6,3.3
Jamal Lewis,2006,192.7,314,48,52,3.6,26,18,5,4.4
Willie Parker,2006,288.6,337,72,76,4.4,42,31,12,5.3
Dominic Rhodes,2006,149.2,187,40,17,3.4,47,36,9,5.3
Chester Taylor,2006,222.4,303,54,95,4,51,42,17,5.6
Fred Taylor,2006,195.8,231,47,76,5,28,23,8,8.6
